,PSERM average,Library
859,-2.042850475,0
860,-1.967981233,0
861,-1.271383951,0
862,-2.564329754,0
863,-1.278708709,0
864,-1.523753011,0
865,-2.92383937,0
866,-2.963306672,0
867,-1.427957797,0
868,-1.835588312,0
869,-2.778794684,0
870,-2.695960863,0
871,-2.010488356,0
872,-1.58971433,0
873,-0.868204599,0
874,-1.617396517,0
875,-2.225154014,0
876,-2.371532086,0
877,-2.573806407,0
878,-2.033756073,0
879,-0.789818253,0
880,-1.649624072,0
881,-1.952870851,0
882,-2.182497441,0
883,-1.456881687,0
884,-1.981429901,0
885,-2.085581897,0
886,-1.989314393,0
887,-3.132883517,0
888,-1.70630379,0
889,-2.551197881,0
890,-1.792901703,0
891,-1.450435026,0
892,-1.54288765,0
893,-2.125818727,0
894,-1.078538364,0
895,-2.576477203,0
896,-2.285870199,0
897,-1.60689328,0
898,-1.877901076,0
899,-2.297155501,0
900,-1.207092474,0
901,-1.321311788,0
902,-2.033074375,0
903,-2.014592424,0
904,-1.729746453,0
905,-1.568596326,0
906,-1.452760428,0
907,-1.644005384,0
908,-2.258389216,0
909,-2.282532511,0
910,-2.039515239,0
911,-1.745274988,0
912,-2.406973943,0
913,-1.826999438,0
914,-1.406650794,0
915,-2.602311903,0
916,-2.591587063,0
917,-1.510502927,0
918,-1.865632599,0
919,-2.542869867,0
920,-0.934659332,0
921,-1.600914078,0
922,-1.925880376,0
923,-1.528130665,0
924,-1.917645919,0
925,-2.271646661,0
926,-1.877601249,0
927,-1.548159664,0
928,-1.739241151,0
929,-2.546631525,0
930,-1.648473706,0
931,-1.762394342,0
932,-2.427026906,0
933,-1.539981726,0
934,-2.515287856,0
935,-1.819728009,0
936,-1.692587932,0
937,-1.721543339,0
938,-3.116008643,0
939,-1.861970906,0
940,-1.973576394,0
941,-1.105105915,0
942,-1.235598011,0
943,-1.128511752,0
944,-1.766861156,0
945,-1.668273022,0
946,-1.776038284,0
947,-3.132529679,0
948,-1.330017879,0
949,-1.456036714,0
950,-1.507476148,0
951,-1.533449563,0
