,PSERM average,Library
322,-1.13073283,1
323,0.249180621,1
324,-0.119098332,1
325,-0.693992094,1
326,-0.600459322,1
327,0.101456974,1
328,-1.030813985,1
329,0.092908717,1
330,-0.831314492,1
331,-0.346195055,1
332,-0.279256105,1
333,-2.244108455,1
334,1.139606929,1
335,-0.504652709,1
336,-0.200947948,1
337,-1.417287475,1
338,-1.306089931,1
339,0.353072421,1
340,-1.041753829,1
341,0.576301662,1
342,-0.91455174,1
343,-0.623341665,1
344,-1.488950628,1
345,-0.98244997,1
346,-0.536400878,1
347,-1.036891239,1
348,-0.588729997,1
349,-2.095181258,1
350,-1.681423977,1
351,-1.053218983,1
352,0.078130914,1
353,-0.656653,1
354,-0.514523179,1
355,-0.297246603,1
356,-1.876018357,1
357,-0.103138832,1
358,-1.106587735,1
359,-0.969639051,1
360,-0.301475306,1
361,-1.141595079,1
362,0.049578255,1
363,-1.117702699,1
364,-1.320347693,1
365,-0.895942044,1
366,-1.46313777,1
367,-0.920880033,1
368,-0.956848908,1
369,-0.29302078,1
370,-0.687421458,1
371,-0.454556093,1
372,-0.28733302,1
373,-0.823050194,1
374,0.307422363,1
375,-1.932928573,1
376,-0.808162836,1
377,-0.535762173,1
378,-1.342005022,1
379,-0.065852664,1
380,-0.823306522,1
381,-1.528263237,1
382,-0.741488282,1
383,-0.734275223,1
384,0.431625725,1
385,-1.315173708,1
386,-1.260016656,1
387,0.006796129,1
388,0.235075383,1
389,-1.717224066,1
390,-0.170984571,1
391,-1.533716879,1
392,-0.653154695,1
393,-0.330585387,1
394,-0.579961377,1
395,-0.588125269,1
396,-1.407026488,1
397,-1.002939159,1
398,-1.463665013,1
399,-0.703033321,1
400,-1.075431292,1
401,-0.146328012,1
402,0.608815336,1
403,-0.603582903,1
404,-0.462010632,1
405,-1.733040888,1
406,-0.317639311,1
407,-1.60121513,1
408,-0.65689626,1
409,-0.387473058,1
410,-1.274797739,1
411,-0.485742182,1
412,-1.299402035,1
413,1.116443821,1
414,-0.580531262,1
415,-0.923656565,1
416,-0.576905785,1
417,0.051685433,1
418,-0.761471884,1
419,0.740290256,1
420,-0.663452229,1
421,-1.121307843,1
422,-0.889905677,1
423,-1.067248056,1
424,-0.240278899,1
425,-0.606627276,1
426,-0.825829451,1
427,-0.339660774,1
428,-1.016787726,1
429,-0.102581187,1
430,-0.723702886,1
431,0.278935387,1
432,-0.001350906,1
433,-1.562534844,1
434,-1.964166411,1
435,-1.383951199,1
436,-1.817073493,1
437,-1.170046692,1
438,-0.048845364,1
439,-1.011539067,1
440,-0.776623571,1
441,-0.697022914,1
442,-0.639240169,1
443,-2.036997204,1
444,-1.175539861,1
445,-0.979640593,1
446,-0.907243189,1
447,-0.851556843,1
448,-1.358153345,1
449,-1.570734823,1
450,-1.237579328,1
451,-1.25823262,1
452,-0.790783738,1
453,-1.105907339,1
454,-0.046411298,1
455,-1.033448817,1
456,-1.233046627,1
457,-0.278751593,1
458,0.140306756,1
459,-0.343600952,1
460,-0.762358076,1
461,0.018708022,1
462,-0.703642449,1
463,-0.87039663,1
464,-0.039628883,1
465,-0.94376276,1
466,0.521395401,1
467,-0.62336819,1
468,-0.999169967,1
469,-1.144627909,1
470,-1.192294549,1
471,0.240233962,1
472,-1.224749122,1
473,-1.175720783,1
474,-0.102130751,1
475,-1.006369431,1
476,-1.291630098,1
477,-0.308046252,1
478,-1.141744997,1
479,-1.284299175,1
480,0.165774514,1
481,-0.05832571,1
482,-1.037689472,1
483,-1.379064055,1
484,-1.229246774,1
485,-0.46966959,1
486,0.460085428,1
487,-1.126616741,1
488,-1.286093874,1
489,0.173390231,1
490,-0.512942447,1
491,-0.668833866,1
492,0.398943282,1
493,-1.125539164,1
494,0.167092453,1
495,-1.109545368,1
496,0.993503339,1
497,-0.098375149,1
498,-0.837464685,1
499,-1.727526386,1
500,-0.022019611,1
501,-1.304758583,1
502,-0.600389936,1
503,0.071387064,1
504,-0.033226425,1
505,-1.018277525,1
506,-0.622730604,1
507,-0.458119519,1
508,-1.204066515,1
509,-1.419696091,1
510,-0.211153271,1
511,-0.654887745,1
512,-0.106639194,1
513,-0.981516994,1
514,-0.510745403,1
515,-0.191380437,1
516,-0.999056819,1
517,-1.017201023,1
518,-0.775612111,1
519,-1.114836312,1
520,-0.890669886,1
521,-1.168279722,1
522,0.66691217,1
523,-1.22440303,1
524,-0.438788539,1
525,-0.907184875,1
526,-1.23556312,1
527,-0.14899702,1
528,-1.077389364,1
529,-1.073345663,1
530,0.163050658,1
531,-1.443511192,1
532,0.326423985,1
533,-0.301383386,1
534,-0.747960389,1
535,-0.88069323,1
536,-0.356727493,1
537,-0.76628548,1
538,-1.204393843,1
539,-0.070681924,1
540,-1.04833179,1
541,-0.505315374,1
542,-0.325284082,1
543,-1.035179062,1
544,-0.046104291,1
545,-0.523664036,1
546,-0.64704175,1
547,-0.197200542,1
548,-0.844053888,1
549,-1.832387302,1
550,-1.009713937,1
551,-0.667680457,1
552,-1.101807144,1
553,-1.368917736,1
554,-0.916857369,1
555,-0.261641669,1
556,-1.203618115,1
557,-0.395422751,1
558,-0.638920002,1
559,0.002301375,1
560,-1.106394402,1
561,-0.597666225,1
562,-0.117170602,1
563,-0.085178066,1
564,-0.882139411,1
565,-0.798343815,1
566,-0.659069425,1
567,-0.375547643,1
568,-0.502267024,1
569,-0.719834309,1
570,-0.715581067,1
571,-0.718497459,1
572,-0.714992388,1
573,-0.460949207,1
574,-1.345982096,1
575,-0.887429065,1
576,-0.077181227,1
577,-0.593813252,1
578,-1.078674315,1
579,-1.52460645,1
580,-0.853178964,1
581,-1.728650212,1
582,-0.278734727,1
583,-1.11191441,1
584,-1.047376107,1
585,-1.600596907,1
586,-1.099891919,1
587,-1.279579333,1
588,-0.787069316,1
